── Session info ────────────────────────────────────────────────────────────────
 setting   value
 gha_image 20250120.5.0
 version   R version 4.0.5 (2021-03-31)
 os        Ubuntu 24.04.1 LTS
 system    x86_64, linux-gnu
 ui        X11
 language  (EN)
 collate   C.UTF-8
 ctype     C.UTF-8
 tz        UTC
 date      2025-01-28
 pandoc    3.1.11 @ /opt/hostedtoolcache/pandoc/3.1.11/x64/pandoc
── Packages ────────────────────────────────────────────────────────────────────
 ! package           * version     date (UTC) lib source
   Matrix              1.3-2       2021-01-06 [4] CRAN (R 4.0.5)
   memoise             2.0.1       2021-11-26 [1] RSPM
   mgcv                1.8-34      2021-02-16 [4] CRAN (R 4.0.5)
   mime                0.12        2021-09-28 [1] RSPM
   munsell             0.5.1       2024-04-01 [1] RSPM
   networkD3           0.4         2017-03-18 [1] RSPM
   nlme                3.1-152     2021-02-04 [4] CRAN (R 4.0.5)
   NLP                 0.3-2       2024-11-20 [1] RSPM
   nnet                7.3-15      2021-01-24 [4] CRAN (R 4.0.5)
   openssl             2.3.1       2025-01-09 [1] RSPM
   packrat             0.9.2       2023-09-05 [1] RSPM
   pak                 0.8.0       2024-08-09 [3] local
   parallelly          1.41.0      2024-12-18 [1] RSPM
   parsedate           1.3.2       2024-12-09 [2] RSPM
 P pillar              1.10.1      2025-01-07 [2] RSPM
   pingr               2.0.5       2024-12-12 [1] RSPM
   pkgbuild            1.4.6       2025-01-16 [1] RSPM
 P pkgconfig           2.0.3       2019-09-22 [2] RSPM
   pkgload             1.4.0       2024-06-28 [1] RSPM
   PKI                 0.1-14      2024-06-15 [1] RSPM
   plogr               0.2.0       2018-03-25 [1] RSPM
   plotly              4.10.4.9000 2025-01-28 [1] https://p~
   plyr                1.8.9       2023-10-02 [1] RSPM
   png                 0.1-8       2022-11-29 [1] RSPM
   praise              1.0.0       2015-08-11 [1] RSPM
 P prettyunits         1.2.0       2023-09-24 [2] RSPM
 P processx            3.8.5       2025-01-08 [2] RSPM
 P progress            1.2.3       2023-12-06 [2] RSPM
   promises            1.3.2.9000  2025-01-28 [1] https://p~
   pryr                0.1.6       2023-01-17 [1] RSPM
 P ps                  1.8.1       2024-10-28 [2] RSPM
   purrr               1.0.2       2023-08-10 [1] RSPM
   quantmod            0.4.26      2024-02-14 [1] RSPM
   R.cache             0.16.0      2022-07-21 [1] RSPM
   R.methodsS3         1.8.2       2022-06-13 [1] RSPM
   R.oo                1.27.0      2024-11-01 [1] RSPM
   R.utils             2.12.3      2023-11-18 [1] RSPM
 P R6                  2.5.1       2021-08-19 [2] RSPM
   ragg                1.3.3       2024-09-11 [1] RSPM
 P rappdirs            0.3.3       2021-01-31 [2] RSPM
   raster              3.6-31      2025-01-16 [1] RSPM
   RColorBrewer        1.1-3       2022-04-03 [1] RSPM
   Rcpp                1.0.14      2025-01-12 [1] RSPM
   reactable           0.4.4       2023-03-12 [1] RSPM
   reactlog            1.1.1       2022-09-26 [1] RSPM
   reactR              0.6.1       2024-09-14 [1] RSPM
   readr               2.1.5       2024-01-10 [1] RSPM
   rematch             2.0.0       2023-08-30 [2] RSPM
   renv                1.0.11      2024-10-12 [1] RSPM
   reshape2            1.4.4       2020-04-09 [1] RSPM
   rjson               0.2.23      2024-09-16 [1] RSPM
 P rlang               1.1.5       2025-01-17 [2] RSPM
   rlist               0.4.6.2     2021-09-03 [1] RSPM
   rmarkdown           2.29        2024-11-04 [1] RSPM
   rpart               4.1-15      2019-04-12 [4] CRAN (R 4.0.5)
 P rprojroot           2.0.4       2023-11-05 [2] RSPM
   rsconnect           1.3.4       2025-01-22 [1] RSPM
   RSQLite             2.3.9       2024-12-03 [1] RSPM
   rstudioapi          0.17.1      2024-10-22 [1] RSPM
   rversions           2.1.2       2022-08-31 [1] RSPM
   sass                0.4.9.9000  2025-01-28 [1] https://p~
   scales              1.3.0       2023-11-28 [1] RSPM
   sessioninfo         1.2.2       2021-12-06 [1] RSPM
   shiny               1.10.0.9000 2025-01-28 [1] https://p~
   shinyAce            0.4.3       2024-10-19 [1] RSPM
 P shinycoreci         0.0.0.9009  2025-01-28 [2] Custom
   shinydashboard      0.7.2       2021-09-30 [1] RSPM
   shinyjs             2.1.0       2021-12-23 [1] RSPM
   shinyjster          0.0.0.9010  2025-01-28 [1] https://p~
   shinymeta           0.2.1       2025-01-28 [1] https://p~
   shinytest           1.6.1       2024-05-30 [2] RSPM
   shinytest2          0.3.2.9000  2025-01-28 [1] https://p~
   shinythemes         1.2.0       2021-01-25 [1] RSPM
   shinyvalidate       0.1.3.9000  2025-01-28 [1] https://p~
   showimage           1.0.0       2018-01-24 [2] RSPM
   showtext            0.9-7       2024-03-02 [1] RSPM
   showtextdb          3.0         2020-06-04 [1] RSPM
   slam                0.1-55      2024-11-13 [1] RSPM
   sourcetools         0.1.7-1     2023-02-01 [1] RSPM
   sp                  2.1-4       2024-04-30 [1] RSPM
   spatial             7.3-13      2021-01-24 [4] CRAN (R 4.0.5)
   stringi             1.8.4       2024-05-06 [1] RSPM
   stringr             1.5.1       2023-11-14 [1] RSPM
   styler              1.10.3      2024-04-07 [1] RSPM
   survival            3.2-10      2021-03-16 [4] CRAN (R 4.0.5)
   sys                 3.4.3       2024-10-04 [1] RSPM
   sysfonts            0.8.9       2024-03-02 [1] RSPM
   systemfonts         1.2.1       2025-01-20 [1] RSPM
   terra               1.8-15      2025-01-24 [1] RSPM
   testthat            3.2.3       2025-01-13 [1] RSPM
   textshaping         1.0.0       2025-01-20 [1] RSPM
   thematic            0.1.6.9000  2025-01-28 [1] https://p~
 P tibble              3.2.1       2023-03-20 [2] RSPM
   tidyr               1.3.1       2024-01-24 [1] RSPM
   tidyselect          1.2.1       2024-03-11 [1] RSPM
   timechange          0.3.0       2024-01-18 [1] RSPM
   tinytex             0.54        2024-11-01 [1] RSPM
   tm                  0.7-15      2024-11-18 [1] RSPM
   TTR                 0.24.4      2023-11-28 [1] RSPM
   tzdb                0.4.0       2023-05-12 [1] RSPM
   utf8                1.2.4       2023-10-22 [1] RSPM
   V8                  6.0.0       2024-10-12 [1] RSPM
 P vctrs               0.6.5       2023-12-01 [2] RSPM
   viridisLite         0.4.2       2023-05-02 [1] RSPM
   visNetwork          2.1.2       2022-09-29 [1] RSPM
   vroom               1.6.5       2023-12-05 [1] RSPM
   waldo               0.6.1       2024-11-07 [1] RSPM
   webdriver           1.0.6       2021-01-12 [2] RSPM
   websocket           1.4.2       2024-07-22 [1] RSPM
 P withr               3.0.2       2024-10-28 [2] RSPM
   wordcloud           2.6         2018-08-24 [1] RSPM
   xfun                0.50        2025-01-07 [1] RSPM
   XML                 3.99-0.18   2025-01-01 [1] RSPM
   xml2                1.3.6       2023-12-04 [1] RSPM
   xtable              1.8-4       2019-04-21 [1] RSPM
   xts                 0.14.1      2024-10-15 [1] RSPM
   yaml                2.3.10      2024-07-26 [1] RSPM
   zoo                 1.8-12      2023-04-13 [1] RSPM

 [1] /home/runner/.local/share/R/shinycoreci/R-4_0_5
 [2] /home/runner/work/_temp/Library
 [3] /opt/R/4.0.5/lib/R/site-library
 [4] /opt/R/4.0.5/lib/R/library

 P ── Loaded and on-disk path mismatch.
